Sections Found,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting,,,,,,,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute,,,
SR,11049,AFC,101,0,MA1,3,Introduction to Africology and African American Studies,T,02:00 pm-03:15 pm,30,0,30,0,0,0,0,0,0,Peter D Blackmer (P),08/30-12/17,TBA,Gen Ed US Diversity,,,
,,,,,,,,,TBA,,,,,,,,,,Peter D Blackmer (P),08/30-12/17,ONLINE,Gen Ed US Diversity,,,
SR,11125,AFC,101,10,MA1,3,Introduction to Africology and African American Studies,W,09:30 am-10:45 am,36,2,34,0,0,0,0,0,0,Antoinette Pressley-Sanon (P),08/30-12/17,TBA,Gen Ed US Diversity,,,
,,,,,,,,,TBA,,,,,,,,,,Antoinette Pressley-Sanon (P),08/30-12/17,ONLINE,Gen Ed US Diversity,,,
SR,12915,AFC,101,11,OA1,3,Intro Africology&African Amer,,TBA,36,0,36,0,0,0,0,0,0,Victor O Okafor (P),08/30-12/17,ONLINE,Gen Ed US Diversity,,,
SR,13000,AFC,101,12,M1,3,Intro Africology&African Amer,MW,12:30 pm-01:45 pm,36,1,35,0,0,0,0,0,0,TBA,08/30-12/17,TBA,Gen Ed US Diversity,,,
SR,11050,AFC,102,0,OA1,3,Intro to African Civilization,,TBA,36,0,36,0,0,0,0,0,0,Victor O Okafor (P),08/30-12/17,ONLINE,Gen Ed Global Awareness,,,
SR,11052,AFC,201,0,OM1,3,Foundations of Knowledge in Africology and African American Studies,M,05:30 pm-08:20 pm,30,0,30,0,0,0,36,0,36,TBA,08/30-12/17,ONLINE,,,,
,,,,,,,,,TBA,,,,,,,,,,TBA,08/30-12/17,ONLINE,,,,
SR,14005,AFC,231,0,M1,3,"Race,Urbanztn&Policy Mindset",TR,09:30 am-10:45 am,30,0,30,0,0,0,0,0,0,TBA,08/30-12/17,TBA,,,,
SR,14006,AFC,232,0,OA1,3,Politics in African Amer Exper,,TBA,30,0,30,0,0,0,0,0,0,TBA,08/30-12/17,ONLINE,Gen Ed US Diversity,,,
SR,12036,AFC,244,0,MA1,3,Dimensions of Racism,M,12:30 pm-01:45 pm,25,6,19,0,0,0,0,0,0,Antoinette Pressley-Sanon (P),08/30-12/17,TBA,Gen Ed Global Awareness and Gen Ed Disciplines-Soc Science and Honors Only Section,,,
,,,,,,,,,TBA,,,,,,,,,,Antoinette Pressley-Sanon (P),08/30-12/17,ONLINE,Gen Ed Global Awareness and Gen Ed Disciplines-Soc Science and Honors Only Section,,,
SR,12151,AFC,244,10,M1,3,Dimensions of Racism,MW,11:00 am-12:15 pm,30,0,30,0,0,0,0,0,0,TBA,08/30-12/17,TBA,Gen Ed Global Awareness and Gen Ed Disciplines-Soc Science,,,
SR,12468,AFC,244,11,MA1,3,Dimensions of Racism,R,11:00 am-12:15 pm,30,2,28,0,0,0,0,0,0,Peter D Blackmer (P),08/30-12/17,TBA,Gen Ed Global Awareness and Gen Ed Disciplines-Soc Science,,,
,,,,,,,,,TBA,,,,,,,,,,Peter D Blackmer (P),08/30-12/17,ONLINE,Gen Ed Global Awareness and Gen Ed Disciplines-Soc Science,,,
SR,12469,AFC,244,12,MA1,3,Dimensions of Racism,R,12:30 pm-01:45 pm,30,0,30,0,0,0,0,0,0,Peter D Blackmer (P),08/30-12/17,TBA,Gen Ed Global Awareness and Gen Ed Disciplines-Soc Science,,,
,,,,,,,,,TBA,,,,,,,,,,Peter D Blackmer (P),08/30-12/17,ONLINE,Gen Ed Global Awareness and Gen Ed Disciplines-Soc Science,,,
SR,14007,AFC,244,13,MA1,3,Dimensions of Racism,T,03:15 pm-04:45 pm,30,0,30,0,0,0,0,0,0,TBA,08/30-12/17,TBA,Gen Ed Global Awareness and Gen Ed Disciplines-Soc Science,,,
,,,,,,,,,TBA,,,,,,,,,,TBA,08/30-12/17,ONLINE,Gen Ed Global Awareness and Gen Ed Disciplines-Soc Science,,,
SR,11053,AFC,312,0,OA1,3,African Civilization,,TBA,25,0,25,0,0,0,0,0,0,TBA,08/30-12/17,ONLINE,,,,
